program_bundle,n_sources,pct
CAACFC + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,5,0
CAACFC + CAANSPS + CAAPSD + CAASIP + CAATVP,5,0
CAACFC + CAANSR + CAAPARGDC + CAASIP + CAATVP,5,0
CAAFENF + CAAFESOP + CAANSPS + CAASIP,5,0
CAAFENF + CAANSPS + CAASIP,5,0
CAAFENF + CAASIP + CAATVP,5,0
CAAFESOP + CAAFIP + CAANSPS + CAASIP,5,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,5,0
CAAFESOP + CAAGACTM + CAAOTH + CAASIP,5,0
CAAFESOP + CAAGACTM + CAASIP + CAATVP,5,0
CAAFESOP + CAANSPS + CAAPSD + CAASIP,5,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAASIP,5,0
CAAGACTM + CAAMACT + CAANSPS,5,0
CAAGACTM + CAAMACT + CAANSPS + CAAPSD + CAASIP,5,0
CAAGACTM + CAAMACT + CAANSR + CAASIP,5,0
CAAGACTM + CAANSPS + CAAPSD + CAASIP,5,0
CAAGACTM + CAATVP,5,0
CAAMACT + CAANSPS + CAANSR + CAAOTH + CAASIP + CAATVP,5,0
CAAMACT + CAANSPS + CAANSR + CAAPSD + CAATVP,5,0
CAAMACT + CAANSPS + CAAPARGDC + CAATVP,5,0
CAAMACT + CAAPSD,5,0
CAANAM + CAANSPS + CAASIP,5,0
CAANAM + CAAPSD + CAATVP,5,0
CAANAM + CAASIP + CAATVP,5,0
CAAAR + CAACFC + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAAAR + CAACFC + CAAMACT + CAANESH + CAANSPS + CAASIP + CAATVP,4,0
CAAAR + CAACFC + CAANSPS + CAANSR + CAAPARGDC + CAASIP + CAATVP,4,0
CAAAR + CAACFC + CAANSPS + CAAPARGDC + CAAPSD + CAASIP + CAATVP,4,0
CAAAR + CAAGACTM + CAAMACT + CAANSPS + CAASIP + CAATVP,4,0
CAAAR + CAAGHG + CAAMACT + CAANSPS + CAASIP + CAATVP,4,0
CAAAR + CAATVP,4,0
CAACFC + CAAFENF + CAAMACT + CAANSPS + CAANSR + CAAOTH + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAASIP,4,0
CAACFC + CAAGACTM + CAAMACT + CAAPARGDC + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAANSPS + CAAOTH + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPARGDC + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAANESH + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAANSPS + CAATVP,4,0
CAACFC + CAAMACT + CAANSR + CAAOTH + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAAPARGDC + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAAPARGDC + CAASIP,4,0
CAACFC + CAAMACT + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAANESH + CAASIP,4,0
CAACFC + CAATVP,4,0
CAAFENF + CAAFESOP + CAAMACT + CAANSPS + CAASIP,4,0
CAAFENF + CAAGACTM + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAAFENF + CAAMACT + CAAPSD + CAASIP + CAATVP,4,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS,4,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPSM + CAASIP,4,0
CAAFESOP + CAAGACTM + CAANESH + CAASIP,4,0
CAAFESOP + CAAGACTM + CAANSPSM,4,0
CAAFESOP + CAAGACTM + CAANSR + CAAPSD + CAASIP,4,0
CAAFESOP + CAAMACT + CAANESH + CAANSPS + CAANSR + CAASIP,4,0
CAAFESOP + CAAMACT + CAANESH + CAANSPS + CAASIP,4,0
CAAFESOP + CAAMACT + CAANESH + CAASIP,4,0
CAAFESOP + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP,4,0
CAAFESOP + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAAFESOP + CAAPSD,4,0
CAAFIP + CAAMACT + CAANSPS + CAASIP,4,0
CAAFIP + CAANSPS + CAASIP + CAATVP,4,0
CAAGACTM + CAAGHG + CAAMACT + CAANSPS + CAASIP + CAATVP,4,0
CAAGACTM + CAAGHG + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,4,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAASFP + CAASIP + CAATVP,4,0
CAAGACTM + CAAMACT + CAANSPS + CAAOTH + CAAPSD + CAASIP + CAATVP,4,0
CAAGACTM + CAAMACT + CAANSR + CAAPSD + CAASIP + CAATVP,4,0
CAAGACTM + CAANESH + CAANSPS + CAASFP + CAASIP + CAATVP,4,0
CAAGACTM + CAANESH + CAASIP + CAATVP,4,0
CAAGACTM + CAANSPS + CAAPSD + CAATVP,4,0
CAAGHG + CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,4,0
CAAGHG + CAAMACT + CAANSR + CAASIP + CAATVP,4,0
CAAGHG + CAAMACT + CAAPSD + CAASIP + CAATVP,4,0
CAAMACT + CAANAM + CAANSPS,4,0
CAAMACT + CAANESH + CAANSPS + CAAPSD + CAARMP + CAASIP + CAATVP,4,0
CAAMACT + CAANFRP + CAANSPS + CAANSR + CAASIP + CAATVP,4,0
CAAMACT + CAANFRP + CAAOTH + CAASIP,4,0
CAAMACT + CAANSPS + CAAOTH + CAASIP,4,0
CAAMACT + CAANSPS + CAARMP + CAASIP,4,0
CAAMACT + CAANSR + CAATVP,4,0
CAANAM + CAANESH,4,0
CAANESH + CAANSPS,4,0
CAANESH + CAANSPS + CAANSR + CAASIP + CAATVP,4,0
CAANESH + CAAPSD + CAASIP + CAATVP,4,0
CAANFRP + CAANSPS + CAAOTH + CAASIP,4,0
CAANFRP + CAANSR + CAASIP,4,0
CAANSPS + CAANSR + CAAOTH + CAASIP,4,0
CAANSPS + CAANSR + CAAPSD,4,0
CAANSPS + CAAPARGDC + CAASIP,4,0
CAASO,4,0
CAAAR + CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,3,0
CAAAR + CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAAPARGDC + CAASIP + CAATVP,3,0
CAAAR + CAACFC + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,3,0
CAAAR + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,3,0
CAAAR + CAAGACTM + CAAMACT + CAANSPS + CAAOTH + CAAPSD + CAASIP + CAATVP,3,0
CAAAR + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,3,0
CAAAR + CAAMACT + CAANSPS + CAANSPSM + CAAPSD + CAASIP + CAATVP,3,0
CAAAR + CAAMACT + CAASIP + CAATVP,3,0
CAAAR + CAANSPS + CAANSR + CAASIP + CAATVP,3,0
CAAAR + CAANSPS + CAAPSD + CAATVP,3,0
CAAAR + CAANSPS + CAATVP,3,0
CAAAR + CAANSR,3,0
CAACFC + CAAFESOP + CAAMACT + CAANSR + CAASIP,3,0
CAACFC + CAAGACTM,3,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,3,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAASIP,3,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAATVP,3,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAATVP,3,0
CAACFC + CAAGACTM + CAANESH + CAASIP + CAATVP,3,0
CAACFC + CAAGACTM + CAANSPS + CAANSR + CAAOTH + CAAPSD + CAASIP + CAATVP,3,0
CAACFC + CAAGACTM + CAANSPS + CAAOTH + CAAPSD + CAASIP + CAATVP,3,0
CAACFC + CAAGHG + CAAMACT + CAANSPS + CAASIP + CAATVP,3,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAAOTH + CAASIP + CAATVP,3,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAATVP,3,0
CAACFC + CAAMACT + CAANESH + CAAPSD + CAASIP + CAATVP,3,0
CAACFC + CAAMACT + CAANSPS,3,0
CAACFC + CAAMACT + CAANSR + CAASIP + CAATVP,3,0
CAACFC + CAANESH + CAANSPS + CAAPARGDC + CAASIP + CAATVP,3,0
CAACFC + CAANSPS,3,0
CAACFC + CAANSPS + CAANSR + CAASIP + CAATVP,3,0
CAACFC + CAAPARGDC + CAASIP,3,0
CAAFENF + CAAFESOP + CAAMACT + CAASIP,3,0
CAAFENF + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,3,0
CAAFENF + CAAMACT + CAANSPS + CAAPSD + CAARMP + CAASIP + CAATVP,3,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP,3,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSR + CAASIP + CAATVP,3,0
CAAFESOP + CAAGACTM + CAANSPS + CAAPSD + CAASIP,3,0
CAAFESOP + CAAGACTM + CAANSPS + CAARMP + CAASIP,3,0
CAAFESOP + CAAGACTM + CAANSR + CAASIP + CAATVP,3,0
CAAFESOP + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,3,0
CAAFESOP + CAAMACT + CAAOTH,3,0
CAAFESOP + CAANESH + CAANSPS + CAANSR + CAASIP,3,0
CAAFESOP + CAANSPS + CAANSR + CAAOTH + CAASIP,3,0
CAAFESOP + CAANSPS + CAATVP,3,0
CAAFESOP + CAANSR + CAASIP + CAATVP,3,0
CAAFIP + CAAMACT + CAANSR + CAASIP + CAATVP,3,0
CAAGACTM + CAAGHG + CAASIP,3,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAANSR + CAASIP + CAATVP,3,0
CAAGACTM + CAAMACT + CAANESH + CAAPSD + CAASIP + CAATVP,3,0
CAAGACTM + CAAMACT + CAANESH + CAASIP,3,0
CAAGACTM + CAAMACT + CAANESH + CAASIP + CAATVP,3,0
CAAGACTM + CAAMACT + CAANSPS + CAANSPSM + CAAOTH + CAASIP,3,0
CAAGACTM + CAAMACT + CAANSPS + CAAOTH + CAASIP + CAATVP,3,0
CAAGACTM + CAAMACT + CAANSPS + CAARMP + CAASIP + CAATVP,3,0
CAAGACTM + CAAMACT + CAANSR + CAASIP + CAATVP,3,0
CAAGACTM + CAANESH + CAANSPS + CAANSR + CAASIP + CAATVP,3,0
CAAGACTM + CAANESH + CAATVP,3,0
CAAGACTM + CAANSPS + CAANSPSM + CAAOTH,3,0
CAAGACTM + CAANSPS + CAANSR + CAAPSD,3,0
CAAGACTM + CAANSPS + CAANSR + CAAPSD + CAATVP,3,0
CAAGACTM + CAANSPS + CAAOTH + CAAPSD + CAASIP + CAATVP,3,0
CAAGACTM + CAANSPS + CAARMP + CAASIP,3,0
CAAGACTM + CAANSR,3,0
CAAGACTM + CAANSR + CAAPSD + CAASIP + CAATVP,3,0
CAAGACTM + CAAOTH + CAASIP,3,0
CAAGHG + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,3,0
CAAGHG + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,3,0
CAAGHG + CAANSPS + CAAPSD + CAASIP + CAATVP,3,0
CAAMACT + CAANESH + CAANSPS + CAANSPSM + CAASIP + CAATVP,3,0
CAAMACT + CAANESH + CAANSPS + CAARMP + CAASIP + CAATVP,3,0
CAAMACT + CAANESH + CAASFP + CAASIP + CAATVP,3,0
CAAMACT + CAANESH + CAATVP,3,0
CAAMACT + CAANFRP + CAANSR + CAAOTH + CAASIP,3,0
CAAMACT + CAANSPS + CAANSR + CAAOTH + CAASIP,3,0
CAAMACT + CAANSPS + CAAPARGDC,3,0
CAAMACT + CAANSPS + CAAPARGDC + CAASIP,3,0
CAAMACT + CAANSR + CAAOTH + CAASIP + CAATVP,3,0
CAAMACT + CAAPSD + CAATVP,3,0
CAAMS + CAASIP,3,0
CAANAM + CAANSPS + CAATVP,3,0
CAANESH + CAANSPS + CAANSR + CAASIP,3,0
CAANESH + CAANSPS + CAAPSD + CAASIP,3,0
CAANESH + CAANSPS + CAAPSD + CAATVP,3,0
CAANFRP + CAANSPS + CAANSR + CAASIP,3,0
CAANSPS + CAANSR + CAAOTH + CAASIP + CAATVP,3,0
CAANSPS + CAAPARGDC + CAASIP + CAATVP,3,0
CAASIP + CAASPP,3,0
CAAAR + CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAPARGDC + CAASIP + CAATVP,2,0
CAAAR + CAACFC + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,2,0
CAAAR + CAACFC + CAANSR + CAAPSD,2,0
CAAAR + CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAASIP,2,0
CAAAR + CAAFESOP + CAAGACTM + CAASIP,2,0
CAAAR + CAAFESOP + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,2,0
CAAAR + CAAGACTM + CAAMACT + CAANSPS + CAASIP,2,0
CAAAR + CAAGACTM + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,2,0
CAAAR + CAAGACTM + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,2,0
CAAAR + CAAGACTM + CAANSPS + CAATVP,2,0
CAAAR + CAAMACT + CAANSPS + CAAOTH + CAAPSD + CAASIP + CAATVP,2,0
CAAAR + CAAMACT + CAANSPS + CAAOTH + CAASIP + CAATVP,2,0
CAAAR + CAAMACT + CAANSPS + CAASIP,2,0
CAAAR + CAAMACT + CAAPSD + CAASIP + CAATVP,2,0
CAAAR + CAANSPS + CAANSR + CAAPSD + CAASIP,2,0
CAAAR + CAANSPS + CAAPSD + CAASIP,2,0
CAAAR + CAANSPS + CAASIP,2,0
CAAAR + CAAPSD + CAASIP + CAATVP,2,0
CAACFC + CAAFENF + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAOTH + CAAPSD + CAASIP + CAATVP,2,0
CAACFC + CAAFENF + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAOTH + CAASIP + CAATVP,2,0
CAACFC + CAAFENF + CAAGACTM + CAANSPS + CAANSR + CAAOTH + CAASIP + CAATVP,2,0
CAACFC + CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAASIP + CAATVP,2,0
CAACFC + CAAFESOP + CAAGACTM + CAAMACT + CAAPSD + CAASIP + CAATVP,2,0
CAACFC + CAAFESOP + CAAGACTM + CAANSPS + CAASIP,2,0
CAACFC + CAAFESOP + CAAGACTM + CAASIP + CAATVP,2,0
CAACFC + CAAFESOP + CAAMACT + CAANSPS,2,0
CAACFC + CAAFESOP + CAAMACT + CAANSPS + CAANSR + CAASIP,2,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAOTH + CAASIP + CAATVP,2,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAPARGDC + CAASIP + CAATVP,2,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,2,0
CAACFC + CAAGACTM + CAANESH + CAANSPS + CAANSR + CAASIP + CAATVP,2,0
CAACFC + CAAGACTM + CAANSPS + CAANSR + CAAPARGDC + CAASIP,2,0
CAACFC + CAAGACTM + CAAPARGDC + CAASIP + CAATVP,2,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAASIP,2,0
CAACFC + CAAMACT + CAANSPS + CAAOTH + CAASIP + CAATVP,2,0
CAACFC + CAAMACT + CAATVP,2,0
CAACFC + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,2,0
CAACFC + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,2,0
CAACFC + CAANSPS + CAAPSD + CAASIP,2,0
CAACFC + CAANSR + CAAPSD,2,0
CAACFC + CAANSR + CAAPSD + CAASIP + CAATVP,2,0
CAACFC + CAAPSD + CAASIP,2,0
CAAFENF + CAAFESOP + CAAGACTM + CAANSPS + CAASIP,2,0
CAAFENF + CAAFESOP + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,2,0
CAAFENF + CAAFESOP + CAAMACT + CAANSPSM + CAASIP,2,0
CAAFESOP + CAAFIP + CAAMACT + CAANSPS + CAASIP,2,0
CAAFESOP + CAAFIP + CAAMACT + CAASIP,2,0
CAAFESOP + CAAFIP + CAANSPS + CAANSR + CAAPSD + CAASIP,2,0
CAAFESOP + CAAGACTM + CAAGHG + CAANSPSM + CAASIP,2,0
CAAFESOP + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,2,0
CAAFESOP + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAASIP,2,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAANSPSM + CAASIP,2,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAOTH + CAASIP,2,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAAOTH + CAASIP,2,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSR + CAAPSD + CAASIP,2,0
CAAFESOP + CAAGACTM + CAAMACT + CAASIP + CAATVP,2,0
CAAFESOP + CAAGACTM + CAANESH + CAANSPS + CAASIP + CAATVP,2,0
CAAFESOP + CAAGACTM + CAANSPS + CAANSR + CAAPSD + CAASIP,2,0
CAAFESOP + CAAGACTM + CAANSPS + CAANSR + CAASIP + CAATVP,2,0
CAAFESOP + CAAGACTM + CAAPSD + CAASIP,2,0
CAAFESOP + CAAGHG + CAAMACT + CAASIP + CAATVP,2,0
CAAFESOP + CAAGHG + CAASIP,2,0
CAAFESOP + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,2,0
CAAFESOP + CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,2,0
CAAFESOP + CAAMACT + CAANSPSM + CAANSR + CAASIP,2,0
CAAFESOP + CAAMACT + CAAOTH + CAASIP,2,0
CAAFESOP + CAAMACT + CAATVP,2,0
CAAFESOP + CAAMS + CAANSPS + CAANSR + CAASIP,2,0
CAAFESOP + CAANFRP + CAASIP,2,0
CAAFESOP + CAANSPS + CAANSPSM + CAAOTH,2,0
CAAFESOP + CAANSPS + CAANSPSM + CAAOTH + CAASIP,2,0
CAAFESOP + CAANSPS + CAANSPSM + CAASIP,2,0
CAAFESOP + CAARMP + CAASIP,2,0
CAAFIP + CAAGACTM + CAAMACT + CAANSPS + CAASIP + CAATVP,2,0
CAAFIP + CAAGACTM + CAANSPS + CAASIP + CAATVP,2,0
CAAFIP + CAANFRP + CAASIP,2,0
CAAFIP + CAANSPS + CAAPSD + CAASIP + CAATVP,2,0
CAAGACTM + CAAGHG + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,2,0
CAAGACTM + CAAGHG + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,2,0
CAAGACTM + CAAGHG + CAAMACT + CAANSPS + CAASIP,2,0
CAAGACTM + CAAGHG + CAANESH + CAANSPS + CAANSR + CAASIP + CAATVP,2,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAANSPSM + CAASIP + CAATVP,2,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAPARGDC + CAAPSD + CAASIP + CAATVP,2,0
CAAGACTM + CAAMACT + CAANESH + CAAPSD + CAATVP,2,0
CAAGACTM + CAAMACT + CAANSPS + CAANSPSM + CAAOTH,2,0
CAAGACTM + CAAMACT + CAANSPS + CAANSPSM + CAAPSD + CAASIP,2,0
CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP,2,0
CAAGACTM + CAAMACT + CAANSPS + CAASFP + CAASIP + CAATVP,2,0
CAAGACTM + CAANESH + CAANSPSM + CAASIP,2,0
CAAGACTM + CAANESH + CAANSR + CAASIP + CAATVP,2,0
CAAGACTM + CAANFRP + CAAOTH + CAASIP,2,0
CAAGACTM + CAANSPS + CAANSPSM + CAAPSD + CAASIP + CAATVP,2,0
CAAGACTM + CAANSPS + CAANSR,2,0
CAAGACTM + CAANSPS + CAANSR + CAAOTH + CAASIP,2,0
