REGISTRY_ID,max_total_hap,max_single,n_years,ever_above_combined,ever_above_single,ever_above_either
110000309979,10.308006200000001,6.8450055,5,FALSE,FALSE,FALSE
110000312849,1.212182145345,0.6215,4,FALSE,FALSE,FALSE
110000314240,9.0445,6.8395,5,FALSE,FALSE,FALSE
110000314525,13.849226025700002,6.7065,4,FALSE,FALSE,FALSE
110000325871,6.122,5.372,5,FALSE,FALSE,FALSE
110000326521,2.0388171905834507,1.0405805000000001,5,FALSE,FALSE,FALSE
110000327307,1.1623235499999995,1.0990789,5,FALSE,FALSE,FALSE
110000334013,29.246000000000002,22.628700000000002,5,TRUE,TRUE,TRUE
110000346661,0.378137255,0.292,3,FALSE,FALSE,FALSE
110000346830,7.421105,6.79356,5,FALSE,FALSE,FALSE
110000347492,0.25236863806800003,0.15074,4,FALSE,FALSE,FALSE
110000347660,5.42578836,5.394,4,FALSE,FALSE,FALSE
110000350030,0.13646209942999998,0.1325,4,FALSE,FALSE,FALSE
110000350156,0.07924787248000001,0.0755,2,FALSE,FALSE,FALSE
110000350325,0.01030432656,0.009818180999999999,1,FALSE,FALSE,FALSE
110000350584,12.81691,12.7555,4,FALSE,TRUE,TRUE
110000351422,0.51687708,0.49827999999999995,3,FALSE,FALSE,FALSE
110000354223,2.4617573276854,2.029,2,FALSE,FALSE,FALSE
110000356445,0.1885,0.127,1,FALSE,FALSE,FALSE
110000359530,0.26319463018399997,0.2513459,1,FALSE,FALSE,FALSE
110000368414,4.9863,4.439,4,FALSE,FALSE,FALSE
110000368487,32.145885,12.847,3,TRUE,TRUE,TRUE
110000376502,7.1385,7.1235,3,FALSE,FALSE,FALSE
110000377985,2.55636948805,2.54,3,FALSE,FALSE,FALSE
110000383889,0.255,0.1275,4,FALSE,FALSE,FALSE
110000387769,0.755,0.25,4,FALSE,FALSE,FALSE
110000390611,0.6935,0.571,5,FALSE,FALSE,FALSE
110000393878,2.802491604148999,1.598,5,FALSE,FALSE,FALSE
110000406285,0,0,3,FALSE,FALSE,FALSE
110000411199,0.181741414755,0.159,5,FALSE,FALSE,FALSE
110000421419,11.977351517928403,6.4261,5,FALSE,FALSE,FALSE
110000427020,3.979127058873101,1.3488779587725,5,FALSE,FALSE,FALSE
110000433852,1.882,1.38,4,FALSE,FALSE,FALSE
110000435949,5.412960859363398,5.191836,5,FALSE,FALSE,FALSE
110000436001,1.3993,1.3728,4,FALSE,FALSE,FALSE
110000446287,16.290134300000002,7.32,5,FALSE,FALSE,FALSE
110000447133,5.73,2.76,5,FALSE,FALSE,FALSE
110000452395,4.112534995809999,4.01,3,FALSE,FALSE,FALSE
110000453465,0.0045000000000000005,0.0015,3,FALSE,FALSE,FALSE
110000455784,0.21536000000000002,0.18780000000000002,2,FALSE,FALSE,FALSE
110000499292,0.44600000000000006,0.3685,5,FALSE,FALSE,FALSE
110000541708,106.805908070816,83.011,4,TRUE,TRUE,TRUE
110000590192,52.1,52.1,4,TRUE,TRUE,TRUE
110000590539,1.9212000379799998,1.13,4,FALSE,FALSE,FALSE
110000594376,1.5662673763100001,0.98745,5,FALSE,FALSE,FALSE
110000613284,0.016804802893000004,0.00734991,4,FALSE,FALSE,FALSE
110000616352,13.610623259725154,4.7871276768549995,5,FALSE,FALSE,FALSE
110000745622,1.19,1.19,4,FALSE,FALSE,FALSE
110000764708,0.2897704600000001,0.103285,2,FALSE,FALSE,FALSE
110000769188,0.011494627423,0.00657,4,FALSE,FALSE,FALSE
110000840948,0.002195,0.002195,1,FALSE,FALSE,FALSE
110000859474,4.73617,4.73617,4,FALSE,FALSE,FALSE
110000877016,1.4108999999999998,0.5639,5,FALSE,FALSE,FALSE
110000889441,3.3650876925440008,1.6710302650000002,4,FALSE,FALSE,FALSE
110001060565,0.015578495,0.015578495,3,FALSE,FALSE,FALSE
110001064721,0.18395570474,0.044,2,FALSE,FALSE,FALSE
110001089599,1.4746000337990002,0.9,4,FALSE,FALSE,FALSE
110001212526,1.180500900496,0.4485,4,FALSE,FALSE,FALSE
110001233193,0.0182,0.0182,1,FALSE,FALSE,FALSE
110001238090,0.13482365712810002,0.12811240000000002,4,FALSE,FALSE,FALSE
110001239712,0.15222529725305,0.14494040000000002,4,FALSE,FALSE,FALSE
110001244332,0.001078640349,0.001078640349,4,FALSE,FALSE,FALSE
110001332371,1.2975,1.2975,3,FALSE,FALSE,FALSE
110001432281,0.847425,0.847425,2,FALSE,FALSE,FALSE
110001476313,0.8575225908699999,0.78392,2,FALSE,FALSE,FALSE
110001477731,0.10345491088000003,0.0965,1,FALSE,FALSE,FALSE
110001478641,0.24463437000000002,0.08816,3,FALSE,FALSE,FALSE
110001480610,0.04587162598999999,0.04375,3,FALSE,FALSE,FALSE
110001480950,7.71715e-4,7.4e-4,3,FALSE,FALSE,FALSE
110001481860,0.012067709139050002,0.008234400000000001,2,FALSE,FALSE,FALSE
110001482066,0.0039828667558999995,0.0019413450000000001,2,FALSE,FALSE,FALSE
110001485704,3.9693508868199996,3.602,2,FALSE,FALSE,FALSE
110001486605,0.0018089214090000001,0.00133,2,FALSE,FALSE,FALSE
110001486678,0.16607763,0.08145000000000001,3,FALSE,FALSE,FALSE
110001486721,0.11599318357235,0.11,2,FALSE,FALSE,FALSE
110001487506,0.46024104900000007,0.4343,3,FALSE,FALSE,FALSE
110001492901,0.394468206149,0.1499,3,FALSE,FALSE,FALSE
110001493189,0.03493826,0.03343,1,FALSE,FALSE,FALSE
110001493759,1.134125,0.743275,3,FALSE,FALSE,FALSE
110001495579,0.14253846735999998,0.0685,2,FALSE,FALSE,FALSE
110001496621,0.047185229999999995,0.03754,3,FALSE,FALSE,FALSE
110001501027,4.952999999999999,4.369,4,FALSE,FALSE,FALSE
110001587774,0.010168997905000001,0.00501915,2,FALSE,FALSE,FALSE
110001600358,1.1157090735247999,0.30587998915,5,FALSE,FALSE,FALSE
110001625876,9.660887846381005,9.09,5,FALSE,FALSE,FALSE
110001728426,0.7263,0.7263,3,FALSE,FALSE,FALSE
110001808465,7.858319727171649,6.86735,5,FALSE,FALSE,FALSE
110001817142,0.018452614,0.00979435,2,FALSE,FALSE,FALSE
110001866044,2.5,2.5,3,FALSE,FALSE,FALSE
110001976880,4.6247,2.2513,4,FALSE,FALSE,FALSE
110001985567,2.3135022384488,1.1185,4,FALSE,FALSE,FALSE
110002218662,1.7492999999999999,1.25,5,FALSE,FALSE,FALSE
110002224655,6.9289999999999985,4.5487,5,FALSE,FALSE,FALSE
110002232922,1.8768393000169994,1.24468154,4,FALSE,FALSE,FALSE
110003203444,1.28443,1.28443,5,FALSE,FALSE,FALSE
110004020247,0.0034570223400000005,0.001276845,3,FALSE,FALSE,FALSE
110004060916,9.428165484e-4,5.5e-4,3,FALSE,FALSE,FALSE
110004364875,0.21001174999999997,0.1644413,3,FALSE,FALSE,FALSE
110005007875,0.101,0.101,1,FALSE,FALSE,FALSE
110005008883,16.14553021,7.621098,5,FALSE,FALSE,FALSE
110005843007,0.0016260394683,4.925438e-4,4,FALSE,FALSE,FALSE
110006014080,4.414699,3.32,4,FALSE,FALSE,FALSE
110006171846,43.040000000000006,39.95,4,TRUE,TRUE,TRUE
110006530003,5.343595,4.50869,4,FALSE,FALSE,FALSE
110006625802,0.522777386198,0.378702,3,FALSE,FALSE,FALSE
110007023023,2.0600000000000005,0.73,5,FALSE,FALSE,FALSE
110007033174,5.137697487257052,4.3348,5,FALSE,FALSE,FALSE
110007114915,0.037950120000000004,0.0357525,2,FALSE,FALSE,FALSE
110007376044,6.776495780000001,2.259,2,FALSE,FALSE,FALSE
110007377659,0.21784272481,0.2,4,FALSE,FALSE,FALSE
110007799720,0.6757222858845002,0.152,4,FALSE,FALSE,FALSE
110008054871,5.67056369,5.5,5,FALSE,FALSE,FALSE
110008433374,11.3425,6.765,5,FALSE,FALSE,FALSE
110009059366,10.492304000000004,3.38223,5,FALSE,FALSE,FALSE
110009078121,0.6931004289446,0.5238769999999999,4,FALSE,FALSE,FALSE
110009364320,0.2788623,0.20723845,1,FALSE,FALSE,FALSE
110009377655,0.14295697291399995,0.13402799999999998,5,FALSE,FALSE,FALSE
110009439161,2.9700116032047497,2.154,4,FALSE,FALSE,FALSE
110009636714,0.0363837838,0.026181799999999998,2,FALSE,FALSE,FALSE
110009663186,0.058353716110499984,0.054525,3,FALSE,FALSE,FALSE
110009842616,0.14151161357999995,0.084495,2,FALSE,FALSE,FALSE
110009853195,1.2128409749999999e-4,7.572199999999999e-5,1,FALSE,FALSE,FALSE
110010427984,4.5905311500000004e-4,1.72537e-4,1,FALSE,FALSE,FALSE
110010440870,13.994287593961493,10.39,5,FALSE,TRUE,TRUE
110010718884,0.4371474567,0.417,3,FALSE,FALSE,FALSE
110010989109,3.2503,2.46,4,FALSE,FALSE,FALSE
110010993201,20.917,12.416,5,FALSE,TRUE,TRUE
110011073391,4.458499999999999,2.58,5,FALSE,FALSE,FALSE
110011751461,8.767100174999999e-4,2.6483447999999996e-4,2,FALSE,FALSE,FALSE
110012146864,1.81428e-4,1.81428e-4,1,FALSE,FALSE,FALSE
110012339950,0.416824758444,0.39605265,5,FALSE,FALSE,FALSE
110012621617,1.1595,1.1595,4,FALSE,FALSE,FALSE
110012705064,3.77800315,1.7090035000000001,4,FALSE,FALSE,FALSE
110013793608,0.5455059700000002,0.29896300000000003,3,FALSE,FALSE,FALSE
110013975939,3.21625e-4,2.3375000000000002e-4,2,FALSE,FALSE,FALSE
110013982645,0.13900235282119996,0.132408,4,FALSE,FALSE,FALSE
110014086336,3.4070340000000014e-5,1.0989000000000001e-5,3,FALSE,FALSE,FALSE
110014341131,5.06251,3.0608400000000002,5,FALSE,FALSE,FALSE
110014373800,4.94208,4.94208,4,FALSE,FALSE,FALSE
110017444595,0.6487891957717002,0.49000631921000004,4,FALSE,FALSE,FALSE
110017982209,5.782692554500001,5.77029,5,FALSE,FALSE,FALSE
110018120004,1.4467367289024504,1.352,5,FALSE,FALSE,FALSE
110018133526,0.06170224209324999,0.053690253,5,FALSE,FALSE,FALSE
110018558103,0.023002725840000002,0.0205,2,FALSE,FALSE,FALSE
110018584940,2.8896061555,1.938615,2,FALSE,FALSE,FALSE
110018642780,0.017540587913999997,0.016363634999999998,3,FALSE,FALSE,FALSE
110018665149,0.060101844361999994,0.0574306,5,FALSE,FALSE,FALSE
110018731522,0.09290612999999999,0.0861,2,FALSE,FALSE,FALSE
110018763818,3.3031013499999996e-5,1.2966649999999999e-5,2,FALSE,FALSE,FALSE
110018766405,0.12950319246000003,0.06297,2,FALSE,FALSE,FALSE
110018769493,0.00190274855225,5.250000000000001e-4,3,FALSE,FALSE,FALSE
110018777448,3.82490125e-4,2.5344e-4,3,FALSE,FALSE,FALSE
110018858459,0.46975619,0.35,1,FALSE,FALSE,FALSE
110022301463,0.0432,0.027344999999999998,3,FALSE,FALSE,FALSE
110024624361,9.602281339999999e-4,3.5393599999999995e-4,4,FALSE,FALSE,FALSE
110027232000,0.650835,0.597395,3,FALSE,FALSE,FALSE
110027375098,8.192200000000001,8.192200000000001,4,FALSE,FALSE,FALSE
110028047209,85.3657754598151,85.08367999999999,5,TRUE,TRUE,TRUE
110028298036,0.002581970876,0.00249,2,FALSE,FALSE,FALSE
110030924971,0.75,0.75,2,FALSE,FALSE,FALSE
110031306272,16.63586247412,14.5,5,FALSE,TRUE,TRUE
110031534070,6.387555345000001,6.3839,3,FALSE,FALSE,FALSE
110032932325,0,0,1,FALSE,FALSE,FALSE
110033175775,0.054723839047359994,0.0511056,5,FALSE,FALSE,FALSE
110034158685,3.37,1.963,5,FALSE,FALSE,FALSE
110037600968,8.492599999999998,3.0389,4,FALSE,FALSE,FALSE
110039139492,4.316471327132801,2.89,4,FALSE,FALSE,FALSE
110039206061,0.024792434100000003,0.02305,3,FALSE,FALSE,FALSE
110039206864,0.04163288604,0.039,1,FALSE,FALSE,FALSE
110039611211,10.2039695,9.14051965,3,FALSE,FALSE,FALSE
110040341118,5.347499999999999,4.612,4,FALSE,FALSE,FALSE
110040954296,109.35968399749802,51.4105,4,TRUE,TRUE,TRUE
110041005328,1.041645,0.704975,2,FALSE,FALSE,FALSE
110041176991,0.2805083669995,0.1815,3,FALSE,FALSE,FALSE
110041222922,1.4785073093775012,0.5908300000000001,5,FALSE,FALSE,FALSE
110041239914,4.7890108406595,4.1,5,FALSE,FALSE,FALSE
110041420977,0.00919651647545,0.003528928,4,FALSE,FALSE,FALSE
110043532344,7.21603316992,3.0983,1,FALSE,FALSE,FALSE
110043582101,1.3507792019999998,1.09625,3,FALSE,FALSE,FALSE
110043672282,0.014589,0.009089999999999999,2,FALSE,FALSE,FALSE
110043832582,0.010407142871799998,0.0056945626000000004,4,FALSE,FALSE,FALSE
110055218438,23.4815,23.4815,3,FALSE,TRUE,TRUE
110056288681,0.005831415633000001,0.00184559,2,FALSE,FALSE,FALSE
110057441415,3.646813232000001,0.3665,2,FALSE,FALSE,FALSE
110057943999,8.51675,4.82674,1,FALSE,FALSE,FALSE
110058905494,0.020906878773,0.02,3,FALSE,FALSE,FALSE
110059100583,5.629499999999999,4.9255,5,FALSE,FALSE,FALSE
110059969235,0.6767598158600001,0.65046,5,FALSE,FALSE,FALSE
110060261773,11.090290919999997,3.86,2,FALSE,FALSE,FALSE
110060932512,12.7944505615,4.56957,4,FALSE,FALSE,FALSE
110064122863,5.5339,5.5339,5,FALSE,FALSE,FALSE
110064195240,34.635269871665,29.77,5,TRUE,TRUE,TRUE
110064338104,0.20502033680933998,0.09881999999999999,3,FALSE,FALSE,FALSE
110067426495,20.501,20.501,3,FALSE,TRUE,TRUE
110071499190,3.2629663480240008,1.88007311,5,FALSE,FALSE,FALSE
